sweep_index,timestamp_start,elapsed_s,f_min_Hz,s21_min_dB,filename,power_dBm,f_min_GHz,time_s,time_relative_s
472,2026-05-21T22:12:46,42.74583697319031,5607834059.94303,-25.0201854706,20260521_221246_sweep0472_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.6078340599430305,20275.485776901245,20104.171127557755
476,2026-05-21T22:15:44,42.68018960952759,5607835882.543321,-25.2378864288,20260521_221544_sweep0476_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607835882543321,20446.28182220459,20274.9671728611
480,2026-05-21T22:18:42,43.19231581687927,5607833275.79161,-25.3151950836,20260521_221842_sweep0480_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607833275791609,20617.662628650665,20446.347979307175
484,2026-05-21T22:21:41,42.73205065727234,5607835732.5314245,-27.2152099609,20260521_222141_sweep0484_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.6078357325314245,20788.963999032974,20617.649349689484
488,2026-05-21T22:24:41,42.72542977333069,5607837892.40111,-24.0454139709,20260521_222441_sweep0488_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607837892401109,20960.378757476807,20789.064108133316
492,2026-05-21T22:27:40,42.70610952377319,5607837892.40111,-24.4594306946,20260521_222740_sweep0492_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607837892401109,21131.70710992813,20960.39246058464
496,2026-05-21T22:30:39,43.27024435997009,5607833677.986646,-24.680814743,20260521_223039_sweep0496_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607833677986646,21303.55291223526,21132.23826289177
500,2026-05-21T22:33:38,42.68493318557739,5607835579.863733,-25.6719474792,20260521_223338_sweep0500_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607835579863734,21474.919899225235,21303.605249881744
504,2026-05-21T22:36:37,42.77967023849487,5607839986.99326,-25.3886814117,20260521_223637_sweep0504_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607839986993261,21646.376448392868,21475.061799049377
508,2026-05-21T22:39:35,42.78425455093384,5607838729.051413,-25.2834281921,20260521_223935_sweep0508_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607838729051412,21817.39720749855,21646.08255815506
512,2026-05-21T22:42:34,43.27260947227478,5607838961.389669,-28.0519218445,20260521_224234_sweep0512_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607838961389669,21989.44069337845,21818.126044034958
516,2026-05-21T22:45:33,42.72552514076233,5607837001.935855,-25.4843273163,20260521_224533_sweep0516_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607837001935855,22160.447479248047,21989.132829904556
520,2026-05-21T22:48:31,42.71089553833008,5607838014.656525,-25.2626590729,20260521_224831_sweep0520_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607838014656525,22331.440593004227,22160.125943660736
524,2026-05-21T22:51:29,42.79878044128418,5607836597.2672,-25.5734233856,20260521_225129_sweep0524_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607836597267201,22502.56231212616,22331.24766278267
528,2026-05-21T22:54:28,42.81143116950989,5607832400.53555,-24.2155170441,20260521_225428_sweep0528_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.60783240053555,22673.729357004166,22502.414707660675
532,2026-05-21T22:57:26,42.80270528793335,5607836175.133289,-24.0618305206,20260521_225726_sweep0532_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607836175133289,22844.825016498566,22673.510367155075
536,2026-05-21T23:00:25,42.85256481170654,5607837263.319885,-26.5266094208,20260521_230025_sweep0536_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607837263319885,23015.972323656082,22844.65767431259
540,2026-05-21T23:03:23,42.7895736694336,5607838494.138721,-25.5623016357,20260521_230323_sweep0540_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607838494138721,23187.268060445786,23015.953411102295
544,2026-05-21T23:06:22,42.80400800704956,5607832400.53555,-24.3154258728,20260521_230622_sweep0544_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.60783240053555,23358.437980890274,23187.123331546783
548,2026-05-21T23:09:20,42.762253761291504,5607832164.784588,-24.7813072205,20260521_230920_sweep0548_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607832164784588,23529.47935962677,23358.16471028328
